time,plosses,line,phase
11250,800.0,-0.013541079301293165,LINE13,3.0
11251,800.0,-7.640713280344869e-37,LINE30,1.0
11252,800.0,11.15604058589268,LINE32,1.0
11253,800.0,1.1168188546619953,LINE16,1.0
11254,800.0,0.0,LINE40,1.0
11255,800.0,8.04133535898633e-06,LINE6,1.0
11256,800.0,0.7877671651640231,LINE24,3.0
11257,800.0,0.26459656781094815,LINE21,2.0
11258,800.0,0.7154916085770249,LINE38,2.0
11259,800.0,-7.52316384526264e-36,LINE31,1.0
11260,800.0,2.521703841365546,LINE4,1.0
11261,800.0,10.210555255931576,LINE3,3.0
11262,800.0,-2.0679515313826162e-24,LINE14,2.0
11263,800.0,6.698279978156548,LINE7,3.0
11264,800.0,2.464084920237982,LINE28,3.0
11265,800.0,-0.03314102037802915,LINE15,3.0
11266,800.0,4.5770403027632735e-06,LINE37,2.0
11267,800.0,-2.350988701644575e-38,LINE19,2.0
11268,800.0,-6.20385459414089e-25,LINE33,2.0
11269,800.0,2.938735877055719e-39,LINE30,2.0
11270,800.0,23.76913066074776,LINE5,2.0
11271,800.0,0.25120709756150045,LINE42,3.0
11272,800.0,0.0,LINE34,3.0
11273,800.0,-3.0445303686297246e-36,LINE47,2.0
11274,800.0,0.8075366856715546,LINE38,1.0
11275,800.0,0.5789464637400205,LINE35,1.0
11276,800.0,6.090140572294312,LINE23,1.0
11277,800.0,15.19067375522686,LINE15,1.0
11278,800.0,0.0007494659099421332,LINE38,3.0
11279,800.0,2.38634418502626,LINE39,2.0
11280,810.0,-1.305060893599705e-54,LINE27,1.0
11281,810.0,6.404180004884956e-30,LINE44,3.0
11282,810.0,36.526919421370444,LINE3,2.0
11283,810.0,0.24462335494774204,LINE42,3.0
11284,810.0,1.8476429202124693,LINE6,2.0
11285,810.0,15.211290748285574,LINE1,1.0
11286,810.0,0.0,LINE39,1.0
11287,810.0,5.4241015165888395,LINE8,3.0
11288,810.0,3.798167623244166e-29,LINE45,2.0
11289,810.0,5.758962028172296,LINE33,3.0
11290,810.0,-1.7592803678936506e-39,LINE17,2.0
11291,810.0,0.0,LINE18,3.0
11292,810.0,-9.183549615799121e-41,LINE39,3.0
11293,810.0,-8.271806125530935e-24,LINE14,2.0
11294,810.0,7.027265492214424,LINE7,3.0
11295,810.0,0.0,LINE47,3.0
11296,810.0,0.0,LINE20,3.0
11297,810.0,1.2423705191397334,LINE20,2.0
11298,810.0,2.297174299639698,LINE28,3.0
11299,810.0,2.3787863610695408,LINE39,2.0
11300,810.0,8.271806125499714e-25,LINE8,1.0
11301,810.0,-5.376673981594445e-24,LINE23,3.0
11302,810.0,1.3270675950466881,LINE30,3.0
11303,810.0,2.0930581386852922,LINE13,1.0
11304,810.0,0.9895731838505355,LINE13,2.0
11305,810.0,0.0,LINE47,2.0
11306,810.0,0.0,LINE21,1.0
11307,810.0,22.462581715452806,LINE3,3.0
11308,810.0,3.8224947411942267,LINE44,2.0
11309,810.0,-8.271806125529689e-25,LINE12,1.0
11310,810.0,3.9569604447826245,LINE32,2.0
11311,810.0,2.489086209167802,LINE4,1.0
11312,810.0,10.48621218749801,LINE32,1.0
11313,810.0,8.022586950593532e-06,LINE6,1.0
11314,810.0,11.74101152152318,LINE11,3.0
11315,810.0,0.0,LINE34,3.0
11316,810.0,0.0,LINE46,3.0
11317,810.0,1.2407709188295885e-24,LINE4,3.0
11318,810.0,-6.065550850243004e-36,LINE8,2.0
11319,810.0,-1.6543612251060553e-24,LINE4,2.0
11320,810.0,4.5063018324498e-06,LINE29,1.0
11321,810.0,1.4693679385278594e-39,LINE20,1.0
11322,810.0,2.938735877055719e-39,LINE18,2.0
11323,810.0,1.1758543333914657,LINE47,1.0
11324,810.0,1.1838054955113715,LINE22,3.0
11325,810.0,0.0,LINE21,3.0
11326,810.0,1.141890154547383,LINE36,1.0
11327,810.0,0.06888476266689554,LINE17,1.0
11328,810.0,27.689323295863623,LINE7,2.0
11329,810.0,9.40852297035471,LINE11,2.0
11330,810.0,2.350988701644575e-38,LINE46,2.0
11331,810.0,6.08003663001365,LINE36,2.0
11332,810.0,0.0,LINE35,2.0
11333,810.0,1.6476311038972067,LINE45,1.0
11334,810.0,0.5780264219736,LINE35,1.0
11335,810.0,0.4841747677728809,LINE19,1.0
11336,810.0,4.81482486096809e-35,LINE42,2.0
11337,810.0,0.7113011367988036,LINE38,2.0
11338,810.0,-3.3087224502116405e-24,LINE33,2.0
11339,810.0,2.938735877055719e-39,LINE40,3.0
