time,load,Pd,Qd
548,240.0,LOAD13,3623.61,-2.4224
549,240.0,LOAD17,46.0,-1.9949
550,240.0,LOAD18,238.0,215.0984
551,240.0,LOAD20,5.0,-0.17685
552,250.0,LOAD22,124.0,125.0207
553,250.0,LOAD13,43.0,-2.4224
554,250.0,LOAD7,23.0,-1.528
555,250.0,LOAD18,238.0,215.0984
556,250.0,LOAD20,5.0,-0.17685
557,250.0,LOAD6,204.0,226.1515
558,250.0,LOAD17,46.0,-1.9949
559,250.0,LOAD10,125.0,-2.5649
560,250.0,LOAD16,23.0,-1.6705
561,250.0,LOAD2,53.0,-0.46184
562,250.0,LOAD5,210.0,223.3209
563,250.0,LOAD4,22.0,-2.2799
564,250.0,LOAD12,23.0,-4.4436
565,250.0,LOAD14,30.0,-6.9373
566,250.0,LOAD11,361.0,403.4621
567,250.0,LOAD1,46.0,-1.9949
568,250.0,LOAD3,193.0,211.0823
569,250.0,LOAD23,49.0,-0.28498
570,250.0,LOAD19,241.0,227.3258
571,250.0,LOAD8,61.0,-2.2799
572,250.0,LOAD21,15.0,-0.60433
573,250.0,LOAD15,56.0,-1.6018
574,250.0,LOAD9,68.0,-1.8868
575,260.0,LOAD1,46.0,-1.9949
576,260.0,LOAD17,46.0,-1.9949
577,260.0,LOAD15,56.0,-1.6018
578,260.0,LOAD8,61.0,-2.2799
579,260.0,LOAD10,125.0,-2.5649
580,260.0,LOAD18,238.0,215.0984
581,260.0,LOAD21,15.0,-0.60433
582,260.0,LOAD2,213.0,202.016
583,260.0,LOAD3,193.0,211.0823
584,260.0,LOAD5,210.0,223.3209
585,260.0,LOAD20,5.0,-0.17685
586,260.0,LOAD16,23.0,-1.6705
587,260.0,LOAD12,23.0,-4.4436
588,260.0,LOAD9,68.0,-1.8868
589,260.0,LOAD7,23.0,-1.528
590,260.0,LOAD19,241.0,227.3258
591,260.0,LOAD14,30.0,-6.9373
592,260.0,LOAD13,43.0,-2.4224
593,260.0,LOAD23,49.0,-0.28498
594,260.0,LOAD4,22.0,-2.2799
595,260.0,LOAD6,204.0,226.1515
596,260.0,LOAD11,201.0,200.9842
597,260.0,LOAD22,24.0,-1.528
598,270.0,LOAD5,210.0,223.3209
599,270.0,LOAD14,30.0,-6.9373
600,270.0,LOAD3,23.0,-4.0505
601,270.0,LOAD22,24.0,-1.528
602,270.0,LOAD6,24.0,-1.6361
603,270.0,LOAD11,201.0,200.9842
604,270.0,LOAD21,15.0,-0.60433
605,270.0,LOAD2,213.0,202.016
606,270.0,LOAD9,68.0,-1.8868
607,270.0,LOAD10,125.0,-2.5649
608,270.0,LOAD15,56.0,-1.6018
609,270.0,LOAD12,23.0,-4.4436
610,270.0,LOAD23,249.0,252.8124
611,270.0,LOAD13,43.0,-2.4224
612,270.0,LOAD1,46.0,-1.9949
613,270.0,LOAD8,61.0,-2.2799
614,270.0,LOAD16,23.0,-1.6705
615,270.0,LOAD4,22.0,-2.2799
616,270.0,LOAD18,238.0,215.0984
617,270.0,LOAD19,61.0,-0.46184
618,270.0,LOAD7,23.0,-1.528
619,270.0,LOAD20,175.0,214.9559
620,270.0,LOAD17,46.0,-1.9949
621,280.0,LOAD22,24.0,-1.528
622,280.0,LOAD9,3635.24,-1.8868
623,280.0,LOAD20,175.0,214.9559
624,280.0,LOAD12,23.0,-4.4436
625,280.0,LOAD17,46.0,-1.9949
626,280.0,LOAD4,22.0,-2.2799
